,repository_name,language
0,amazon-pay-sdk-php,PHP
1,amazon-pay-sdk-java,Java
2,amazon-pay-sdk-csharp,C#
3,amazon-pay-sdk-python,Python
4,amazon-pay-sdk-ruby,Ruby
5,amazon-pay-sdk-samples,PHP
6,amazon-instant-access-sdk-php,PHP
7,amazon-instant-access-sdk-java,Java
8,alexa-skills-kit-js,
9,alexa-coho,JavaScript
10,login-with-amazon-oscommerce,PHP
11,login-with-amazon-wordpress,PHP
12,oss-dashboard,Ruby
13,exoplayer-amazon-port,Java
14,amazon-instant-access-sdk-net,C#
15,amzn-drivers,C
16,amazon-payments-magento-2-plugin,PHP
17,amazon-advertising-api-php-sdk,PHP
18,fire-app-builder,Java
19,style-dictionary,JavaScript
20,amazon-instant-access-sdk-ruby,Ruby
21,jekyll-doc-project,HTML
22,oss-attribution-builder,TypeScript
23,oss-contribution-tracker,TypeScript
24,amazon-mcf-plugin-for-magento-1,PHP
25,autotrail,Python
26,amazon-launcher-integration-cordova-plugin,JavaScript
27,hawktracer,C++
28,amazon-template-library,C++
29,xfer,Python
30,drs-sample-android-app,Java
31,drs-sample-ios-app,Objective-C
32,MXFusion,Python
33,tiny-attribution-generator,TypeScript
34,emukit-playground,JavaScript
35,smoke-framework,Swift
36,gameon-sample-game-unity,C#
37,smoke-aws,Swift
38,smoke-http,Swift
39,smoke-aws-credentials,Swift
40,smoke-dynamodb,Swift
41,sketch-constructor,JavaScript
42,smoke-aws-generate,Swift
43,smoke-framework-application-generate,Swift
44,.github,
45,smoke-framework-examples,Swift
46,service-model-swift-code-generate,Swift
47,rdma-core,C
48,gameon-starter-kit-unity,C#
49,metalearn-leap,Python
50,amazon-s3-gst-plugin,C
51,sample-fire-tv-app-video-skill,Java
52,amazon-pay-api-sdk-php,PHP
53,git-commit-template,JavaScript
54,amazon-pay-api-sdk-java,Java
55,amazon-pay-api-sdk-dotnet,C#
56,amazon-hub-counter-sdk-java,Java
57,amazon-hub-counter-api-samples,Java
58,zeek-plugin-bacnet,Zeek
59,zeek-plugin-enip,Zeek
60,zeek-plugin-profinet,Zeek
61,zeek-plugin-s7comm,Zeek
62,zeek-plugin-tds,Zeek
63,milan,Scala
64,basis-point-sets,Python
65,amazon-hub-counter-api-docs,CSS
66,computer-vision-basics-in-microsoft-excel,
67,ftv-livetv-sample-tv-app,Java
68,differential-privacy-bayesian-optimization,Python
69,amazon-pay-api-sdk-nodejs,JavaScript
70,convolutional-handwriting-gan,Python
71,awsssmchaosrunner,Kotlin
72,workspace-resolver,JavaScript
73,distance-assistant,Python
74,selling-partner-api-docs,
75,selling-partner-api-models,Java
76,amazon-payment-files-tools,Kotlin
77,pecos,Python
78,image-misspell-coling2020,
79,credence-to-causal-estimation,Python
80,amzn-ec2-ena-utilities,Python
81,aws-apigateway-client-lib,
82,sparse-vqvae,Python
83,amazon-ray,Python
84,golang-gitoperations,Go
85,image-to-recipe-transformers,Python
86,explainable-text-vqa,
87,zero-shot-rlhr,Python
88,ion-object-mapper-dotnet,C#
89,amazon-hub-support,PowerShell
90,amigitenough,Go
91,halo-third-party-sdk-for-node-js,TypeScript
92,halo-third-party-sdk-for-java,Java
93,halo-third-party-sdk-for-python,Python
94,refuel-open-domain-qa,Python
95,supply-chain-simulation-environment,Python
96,firetv-sample-touch-app,Java
97,amazon-weak-ner-needle,Python
98,multimodal-affinities,Python
99,eslint-plugin-no-date-parsing,TypeScript
100,fashion-attribute-disentanglement,Python
101,amazon-frustration-free-setup-certification-tool,Python
102,multiconer-baseline,Python
103,nimbus-jose-jwt_aws-kms-extension,Java
104,glad,JavaScript
105,amazon-codeguru-profiler-for-spark,Java
106,trans-encoder,Python
107,cosearcher,Python
108,rheoceros,Python
109,amazon-succinct-doc-representation,Python
110,robotiq-gripper-interface,C++
111,ss-aga-kgc,Python
112,ads-advanced-tools-docs,
113,data-jack-knife,Java
114,amazon-ads-advertiser-audience-normalization-sdk-py,Python
115,aws-sigv4-signing-samples,Java
116,orthogonal-additive-gaussian-processes,Python
117,auction-gym,Jupyter Notebook
118,confident-sinkhorn-allocation,Jupyter Notebook
119,debiased-balanced-interleaving,Jupyter Notebook
120,merlin-on-demand-callgraph,JavaScript
121,openapi-swift-code-generate,Swift
122,multilingual-keyphrase-generation,Python
123,smoke-aws-support,Swift
124,seqzero,Python
125,kqr,
126,sto-transformer,Python
127,rete-thewebconf-2022,Python
128,amazon-multi-token-completion,Python
129,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
130,amazon-marketing-stream-examples,Python
131,amazon-sidewalk-android-samples,Kotlin
132,amazon-sidewalk-ios-samples,Swift
133,chalet-charging-location-for-electric-trucks,Python
134,pretraining-or-self-training,Python
135,user-satisfaction-modeling,Python
136,buy-with-prime-saas-integration,TypeScript
137,buy-with-prime-oauth-handler-ec2,JavaScript
138,faithful-data2text-cycle-training,Python
139,selling-partner-api-samples,Java
140,buy-with-prime-automate-tenant-validation,JavaScript
141,ads-pao-amznjs-gtm-template,Smarty
142,python-jose_aws-kms-extension,Python
143,buy-with-prime-event-accelerator,Python
144,node-jose_aws-kms-extension,TypeScript
145,buy-with-prime-cdk-constructs,TypeScript
146,augment-the-pairs-wacv2024,Python
147,buy-with-prime-monitoring-sample-cdk,TypeScript
